metabolite,local_sample_id,intensity_norm,log1p_intensity_norm,median_norm_factor,subject_id,time_hr
lactate,SM-9O9R1,435901.4294767208,12.985173711683585,0.8238880988096862,,
lactate,SM-9OS5Y,276687.6755017689,12.53064823794713,0.8025221925671946,,
lactate,SM-9OS63,389758.4445713156,12.87328501900953,2.1417752754995356,,
lactate,SM-9OS67,2535290.17097116,14.745819048755129,1.3396959602059835,,
lactate,SM-9OS6B,423273.14661535213,12.955775348847338,1.7244420200918225,,
lactate,SM-9OS7N,719728.3251183556,13.486630482974466,0.866896547245654,,
lactate,SM-9OS7Z,5882779.215403415,15.587540033876818,0.8035183417428065,,
lactate,SM-9OS8G,543087.3276175157,13.205027251649675,1.0334820413914918,,
lactate,SM-9OS8K,490995.90655490564,13.104193106461302,1.1259849473677375,,
lactate,SM-9P5FG,517748.3520642234,13.1572465278118,0.9279720506776282,,
lactate,SM-9P5FO,377552.06896036706,12.841466417818232,1.30436578286026,,
lactate,SM-9P5FW,3618049.094873425,15.101445790854077,1.5729805900268194,,
lactate,SM-9PJ16,438649.04936586117,12.991457220096958,1.526835635386024,,
lactate,SM-9PJ1E,764568.5887676154,13.54706832541161,0.658029910450475,,
lactate,SM-9PJ1I,5386089.342608118,15.49933032581273,0.9155247316436461,,
lactate,SM-9PPUW,245046.10667837548,12.409205743201577,1.3769041449936037,,
lactate,SM-9QMN9,714134.9480363472,13.478828626609543,1.3027929840966797,,
lactate,SM-9QMND,813940.651622055,13.609643961361481,0.5612423941347984,,
lactate,SM-9QMNL,328287.5231370944,12.701648144417138,1.1994272466930316,,
lactate,SM-9QMOR,2251878.5691968976,14.627275789545727,0.8712876559324125,,
lactate,SM-9QMQ9,384045.7306231466,12.85851951849682,0.6394316624781646,,
lactate,SM-9QVJX,588093.9933013066,13.28464376706596,1.0419252823180274,,
lactate,SM-9QVK2,699134.0468499233,13.457599202626637,0.8869286266258856,,
lactate,SM-9QXOC,704209.3902612982,13.464832440296453,0.9560096887520861,,
lactate,SM-9R78F,427008.28873081546,12.96456104544211,1.784190190463203,,
lactate,SM-9RD3C,332928.56955173105,12.715686243745045,1.1912164838661499,,
lactate,SM-9RD3K,15506539.032428198,16.55677243047486,1.667135519146974,,
lactate,SM-9RRZH,258154.2087427882,12.461316267298846,1.8245179975713182,,
lactate,SM-9RRZL,468906.00744963624,13.058159749409679,1.0397563525614801,,
lactate,SM-9RRZP,1013859.1060973608,13.829275491186936,0.9968998590845038,,
lactate,SM-9RTUR,586503.8955260172,13.281936294058763,0.6409641996714136,,
lactate,SM-9RTUZ,692674.2330054617,13.448316529084593,0.7333476196969992,,
lactate,SM-9RTV8,327439.30384801765,12.699061039116067,0.7236302948835337,,
lactate,SM-9RYI7,726961.7857414341,13.496630566404136,0.9567889449520433,,
lactate,SM-9SD8V,451401.1531320543,13.02011391325241,0.8750930237088699,,
lactate,SM-9SIIW,1035951.586325572,13.850831934659258,0.8109732260557299,,
lactate,SM-9SIJ5,590184.09537346,13.288191487653734,0.46784723980960174,,
lactate,SM-9SIJB,700119.8838049329,13.459008290266045,0.8125979752326404,,
lactate,SM-9SIZI,864684.4498312623,13.67012107796673,0.7920126239504393,,
lactate,SM-9SIZM,326436.8650797039,12.695994903553535,0.7605605449598358,,
lactate,SM-9SKIL,728036.5152997805,13.498107857856288,0.9821485392193151,,
lactate,SM-9SNJ4,439204.92735837854,12.992723664893264,1.1482794672485113,,
lactate,SM-9SNJ8,991333.4250200354,13.806807218564224,0.982073211119986,,
lactate,SM-9T55H,649948.3551672576,13.384649723708982,0.9667075776171644,,
lactate,SM-9T55L,417449.30147201056,12.941920777797021,0.940006363925633,,
lactate,SM-9U25X,596232.1917053786,13.2983871307754,1.1060087146818363,,
lactate,SM-9U262,3078019.847788264,14.939797366518604,1.1607735416544909,,
lactate,SM-9U26Q,991120.2970455273,13.80659220445525,1.3936360743670166,,
